,Epochs,Val_loss,Train_loss,Lr,time
0,0,0.02913773540727477,0.054341093035130884,0.001,85.73362064361572
1,1,0.02273900044393252,0.025140868613750224,0.0009755282581475768,202.2651081085205
2,2,0.019940204084415245,0.021343053691117574,0.0009045084971874737,287.54187655448914
3,3,0.017256832987299752,0.01881550265795659,0.0007938926261462366,376.30581974983215
4,4,0.014481392144013066,0.01607790823716139,0.0006545084971874737,464.82997965812683
5,5,0.012485640224108582,0.01368527133162096,0.0005,553.205137014389
6,6,0.0115120963929808,0.012179472754692796,0.00034549150281252633,640.1731984615326
7,7,0.010931809697434926,0.011305469115840926,0.00020610737385376348,723.5795876979828
8,8,0.0104422289608099,0.01071531263833154,9.549150281252633e-05,811.1303200721741
9,9,0.010138249623293747,0.010318540515705564,2.4471741852423235e-05,900.2097764015198
